S_UNNR	N_LFDNR	S_VORSILBE	S_NAME	S_SPEZIFIKATION	S_KLASSE	S_KLASSIFIZIERUNGSCODE	S_VP_GRUPPE	S_KENN1	S_KENN2	S_KENN3	S_KENN4	S_SV1	S_SV2	S_SV3	S_SV4	S_SV5	S_SV6	S_SV7	S_SV8	S_SV9	SV_10	SV_11	S_BEGRENZTE_MENGEN	S_FREIGEST_MENGEN	S_VERPACKUNGSANW1	S_VERPACKUNGSANW2	S_VERPACKUNGSANW3	S_VERPACKUNGSANW4	S_VERPACKUNGSANW5	S_VERPACKUNGSANW6	S_VERPACKUNGSANW7	S_VERPACKUNGSANW8	S_VERPACKUNGSANW9	S_SV_VP1	S_SV_VP2	S_SV_VP3	S_SV_VP4	S_SV_VP5	S_ZUSAMMENPACKUNG1	S_ZUSAMMENPACKUNG2	S_UN_TANK1	S_UN_TANK2	S_UN_TANK3	S_UN_TANK4	S_SV_UNTANK1	S_SV_UNTANK2	S_SV_UNTANK3	S_SV_UNTANK4	S_TANK_CODE1	S_TANK_CODE2	S_SV_TANK1	S_SV_TANK2	S_SV_TANK3	S_SV_TANK4	S_SV_TANK5	S_SV_TANK6	S_SV_TANK7	S_SV_TANK8	S_TANKFAHRZEUG	S_BEFOERDERUNGSKATEGORIE	S_TUNNEL_CODE	S_SV_VERSANDSTUECKE1	S_SV_VERSANDSTUECKE2	S_SV_VERSANDSTUECKE3	S_SV_LOSE_SCHUETTUNG1	S_SV_LOSE_SCHUETTUNG2	S_SV_LOSE_SCHUETTUNG3	S_SV_LOSE_SCHUETTUNG4	S_SV_LOSE_SCHUETTUNG5	S_SV_HANDHABUNG1	S_SV_HANDHABUNG2	S_SV_HANDHABUNG3	S_SV_HANDHABUNG4	S_SV_HANDHABUNG5	S_BETRIEB1	S_BETRIEB2	S_BETRIEB3	S_BETRIEB4	S_GEFAHRNR	S_VORSILBE_E	S_NAME_E	S_SPEZIFIKATION_E	S_VORSILBE_FR	S_NAME_FR	S_SPEZIFIKATION_FR	S_BEMERKUNG	N_MULTIPLIKATOR	N_ERGAENZ_TECH	S_VERTRAEGL_GR	N_VERBOT	N_UNNR	N_SICHERUNG	S_MENGE_SICHERUNG_TANK	S_MENGE_SICHERUNG_LS	S_MENGE_SICHERUNG_VP	S_KENNZ_N
0004	1		AMMONIUMPIKRAT	trocken	1	1.1D		1															0	E0	P112b	P112c								PP26					MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						AMMONIUM PICRATE	dry		PICRATE D'AMMONIUM	sec		50	0	D	1	4	1	a)	a)	0	-
0004	2		AMMONIUMPIKRAT	angefeuchtet mit weniger als 10 Masse-% Wasser	1	1.1D		1															0	E0	P112a									PP26					MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						AMMONIUM PICRATE	wetted with less than 10 % water, by mass		PICRATE D'AMMONIUM	humidifié avec moins de 10 % (masse) d'eau		50	0	D	1	4	1	a)	a)	0	-
0005	1		PATRONEN FÜR WAFFEN	mit Sprengladung	1	1.1F		1															0	E0	P130	LP101													MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						CARTRIDGES FOR WEAPONS	with bursting charge		CARTOUCHES POUR ARMES	avec charge d'éclatement		50	0	F	1	5	1	a)	a)	0	
0006	1		PATRONEN FÜR WAFFEN	mit Sprengladung	1	1.1E		1															0	E0	P130	LP101								PP67	L1				MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						CARTRIDGES FOR WEAPONS	with bursting charge		CARTOUCHES POUR ARMES	avec charge d'éclatement		50	0	E	1	6	1	a)	a)	0	
0007	1		PATRONEN FÜR WAFFEN	mit Sprengladung	1	1.2F		1															0	E0	P130	LP101													MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						CARTRIDGES FOR WEAPONS	with bursting charge		CARTOUCHES POUR ARMES	avec charge d'éclatement		50	0	F	1	7	1	a)	a)	0	
0009	1		MUNITION, BRAND	mit oder ohne Zerleger, Ausstoß- oder Treibladung	1	1.2G		1															0	E0	P130	LP101								PP67	L1				MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						AMMUNITION, INCENDIARY	with or without burster, expelling charge or propelling charge		MUNITIONS INCENDIAIRES	avec ou sans charge de dispersion, charge d'expulsion ou charge propulsive		50	0	G	1	9	1	a)	a)	0	
0010	1		MUNITION, BRAND	mit oder ohne Zerleger, Ausstoß- oder Treibladung	1	1.3G		1															0	E0	P130	LP101								PP67	L1				MP23																					1	C5000D	V2								CV1	CV2	CV3			S1						AMMUNITION, INCENDIARY	with or without burster, expelling charge or propelling charge		MUNITIONS INCENDIAIRES	avec ou sans charge de dispersion, charge d'expulsion ou charge propulsive		50	0	G	1	10	0				
0012	1		PATRONEN FÜR WAFFEN, MIT INERTEM GESCHOSS		1	1.4S		1.4				364											5 kg	E0	P130	LP101													MP23	MP24																				4	E									CV1	CV2	CV3			S1						CARTRIDGES FOR WEAPONS, INERT PROJECTILE			CARTOUCHES À PROJECTILE INERTE POUR ARMES			0	0	S	1	12	0				
0012	2		PATRONEN FÜR HANDFEUERWAFFEN		1	1.4S		1.4				364											5 kg	E0	P130	LP101													MP23	MP24																				4	E									CV1	CV2	CV3			S1						CARTRIDGES, SMALL ARMS			CARTOUCHES POUR ARMES DE PETIT CALIBRE			0	0	S	1	12	0				
0014	1		PATRONEN FÜR WAFFEN, MANÖVER		1	1.4S		1.4				364											5 kg	E0	P130	LP101													MP23	MP24																				4	E									CV1	CV2	CV3			S1						CARTRIDGES FOR WEAPONS, BLANK			CARTOUCHES À BLANC POUR ARMES			0	0	S	1	14	0				
